Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000043.spe	264.00	7.19	0	0.010270	-0.010164	0.009073	0.081458	68977	1.67	30	851	0	192	5334	1000	3068	60370	1396	88	1079	579	26698	0	650	23	291	340	0	869	1220	7409	0	1255	264	0	171	211	1839	4595	70	267	17	387	9	655	87501	22067	0.176	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000044.spe	266.00	7.23	1	0.010270	-0.010164	0.009073	0.081458	63544	1.54	51	653	0	159	4671	750	2849	45323	886	222	774	466	29140	360	674	59	266	27	0	885	1052	6397	0	1323	240	24	137	195	1546	4139	154	372	176	243	73	0	81397	23240	0.173	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000045.spe	268.00	7.24	1	0.010270	-0.010164	0.009073	0.081458	63371	1.60	29	587	0	151	4714	657	2591	44043	1321	264	634	631	26585	0	682	0	0	196	0	758	914	6175	0	843	181	0	106	118	1347	4161	0	46	293	133	125	557	81717	23385	0.173	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000046.spe	270.00	7.27	1	0.010270	-0.010164	0.009073	0.081458	65268	1.53	27	686	0	120	4917	667	2841	47478	1295	158	689	553	24498	0	624	0	160	55	0	761	1241	6261	0	1161	191	36	107	154	1584	4596	130	325	33	222	60	546	85670	23881	0.175	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000047.spe	272.00	7.30	1	0.010270	-0.010164	0.009073	0.081458	69419	1.54	101	912	0	187	5216	772	2620	50920	1770	99	881	543	29861	228	782	0	109	114	0	890	852	6545	117	1253	267	0	178	176	1639	4619	29	586	638	191	169	0	90810	23256	0.179	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000048.spe	274.00	7.32	1	0.010270	-0.010164	0.009073	0.081458	66688	1.54	31	1085	0	88	4652	784	3114	50014	1195	162	711	709	25939	0	585	0	311	127	0	644	1201	6149	13	1977	254	33	134	149	1649	4290	158	211	371	328	105	643	86502	24025	0.176	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000049.spe	276.00	7.35	0	0.010270	-0.010164	0.009073	0.081458	59960	1.82	17	605	0	116	4306	803	2031	50686	661	137	652	541	22554	0	581	39	173	0	196	829	840	6446	0	1259	240	54	78	194	1261	3904	0	52	139	281	12	718	78652	22044	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000050.spe	278.00	7.35	0	0.010270	-0.010164	0.009073	0.081458	64723	1.72	53	837	0	164	5098	921	2541	58000	892	165	884	590	23937	0	610	0	118	309	0	925	905	7052	0	1297	273	15	108	276	1815	4728	36	489	106	436	182	498	83424	22317	0.173	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000051.spe	280.00	7.39	1	0.010270	-0.010164	0.009073	0.081458	66605	1.85	8	735	0	143	4796	750	2602	84266	750	139	885	662	26773	0	530	114	0	120	0	787	823	11128	48	881	324	38	53	167	1382	4191	105	300	263	407	193	840	81411	23766	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000052.spe	282.00	7.42	1	0.010270	-0.010164	0.009073	0.081458	67917	1.55	64	729	0	128	4745	660	2641	83095	1273	61	831	638	27634	290	668	49	285	66	0	840	1233	10379	0	1094	362	0	129	188	1750	4111	67	343	13	253	168	0	82031	21720	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000053.spe	284.00	7.45	1	0.010270	-0.010164	0.009073	0.081458	66721	1.75	78	840	0	145	4706	756	2376	76673	867	66	743	538	24662	0	611	61	55	128	0	794	845	9318	0	1231	376	25	85	192	1404	4389	121	281	390	384	101	343	82559	21832	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000054.spe	286.00	7.47	1	0.010270	-0.010164	0.009073	0.081458	68929	1.55	0	906	0	122	4964	646	2510	70628	819	174	740	565	27102	122	697	95	193	28	0	901	977	7816	0	1333	296	0	128	161	1561	4318	143	428	266	284	192	12	87097	22567	0.176	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000055.spe	288.00	7.49	1	0.010270	-0.010164	0.009073	0.081458	67559	1.68	48	858	0	155	5175	709	2825	46042	749	246	781	834	25631	0	673	0	334	186	0	809	1266	7076	0	955	302	44	121	146	1654	4770	309	387	145	284	136	162	86395	25231	0.178	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000056.spe	290.00	7.52	1	0.010270	-0.010164	0.009073	0.081458	66920	1.81	45	848	0	158	5030	740	2950	44715	1126	240	786	510	28305	326	749	111	187	245	0	841	1268	6883	0	1146	213	10	150	160	1563	4626	236	369	76	209	114	0	88191	25900	0.176	
