,position_corr,Ca,Si,Fe,Sr,Ti,clusters
525,350.0,128938,1037,81306,11506,3994,1.0
526,350.0,128938,1037,81306,11506,3994,1.0
527,350.0,128938,1037,81306,11506,3994,0.0
528,350.0,128938,1037,81306,11506,3994,1.0
529,350.0,128938,1037,81306,11506,3994,1.0
530,350.0,128938,1037,81306,11506,3994,1.0
531,352.0,118826,977,65016,11190,2992,1.0
532,352.0,118826,977,65016,11190,2992,1.0
533,352.0,118826,977,65016,11190,2992,0.0
534,352.0,118826,977,65016,11190,2992,1.0
535,352.0,118826,977,65016,11190,2992,1.0
536,354.0,116655,924,71479,11037,3588,1.0
537,354.0,116655,924,71479,11037,3588,1.0
538,354.0,116655,924,71479,11037,3588,0.0
539,354.0,116655,924,71479,11037,3588,0.0
540,354.0,116655,924,71479,11037,3588,0.0
541,354.0,116655,924,71479,11037,3588,0.0
542,356.0,119878,972,74738,11643,3294,0.0
543,356.0,119878,972,74738,11643,3294,0.0
544,356.0,119878,972,74738,11643,3294,0.0
545,356.0,119878,972,74738,11643,3294,0.0
546,356.0,119878,972,74738,11643,3294,0.0
547,356.0,119878,972,74738,11643,3294,1.0
548,358.0,127278,1137,81645,12699,3949,2.0
549,358.0,127278,1137,81645,12699,3949,2.0
550,358.0,127278,1137,81645,12699,3949,1.0
551,358.0,127278,1137,81645,12699,3949,1.0
552,358.0,127278,1137,81645,12699,3949,0.0
553,358.0,127278,1137,81645,12699,3949,0.0
554,358.0,127278,1137,81645,12699,3949,0.0
555,358.0,127278,1137,81645,12699,3949,1.0
556,358.0,127278,1137,81645,12699,3949,1.0
557,358.0,127278,1137,81645,12699,3949,1.0
558,358.0,127278,1137,81645,12699,3949,1.0
559,358.0,127278,1137,81645,12699,3949,1.0
560,360.0,122021,994,67164,11601,4773,1.0
561,360.0,122021,994,67164,11601,4773,0.0
562,360.0,122021,994,67164,11601,4773,0.0
563,360.0,122021,994,67164,11601,4773,1.0
